[0.000000] (-) TimerEvent: {}
[0.000859] (micro_ros_setup) JobQueued: {'identifier': 'micro_ros_setup', 'dependencies': OrderedDict()}
[0.103599] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup\n'}
[0.103797] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh\n'}
[0.104082] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv\n'}
[0.104249] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh\n'}
[0.104509] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv\n'}
[0.104899] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash\n'}
[0.104981] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh\n'}
[0.105087] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh\n'}
[0.105271] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv\n'}
[0.105490] (micro_ros_setup) StdoutLine: {'line': b'-- Installing: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/package.dsv\n'}
[0.105667] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup\n'}
[0.105796] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake\n'}
[0.106022] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake\n'}
[0.106261] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/share/micro_ros_setup/package.xml\n'}
[0.106542] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config\n'}
[0.106805] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos\n'}
[0.106963] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21\n'}
[0.107191] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/client-colcon.meta\n'}
[0.107594] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/build.sh\n'}
[0.107704] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/board.repos\n'}
[0.107795] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/create.sh\n'}
[0.107985] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/client_uros_packages.repos\n'}
[0.108084] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/configure.sh\n'}
[0.108180] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/package.xml\n'}
[0.108436] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/crazyflie21/flash.sh\n'}
[0.108568] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407\n'}
[0.108716] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client-colcon.meta\n'}
[0.108798] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/build.sh\n'}
[0.108945] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/board.repos\n'}
[0.109229] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/create.sh\n'}
[0.109344] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client_uros_packages.repos\n'}
[0.109684] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/configure.sh\n'}
[0.109833] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/package.xml\n'}
[0.110100] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/flash.sh\n'}
[0.110216] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32\n'}
[0.110375] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/client-colcon.meta\n'}
[0.110527] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/build.sh\n'}
[0.110730] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/README.md\n'}
[0.110909] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/board.repos\n'}
[0.110985] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/create.sh\n'}
[0.111182] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/client_uros_packages.repos\n'}
[0.111535] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/configure.sh\n'}
[0.111736] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/package.xml\n'}
[0.111889] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/esp32/flash.sh\n'}
[0.112057] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/dev_uros_packages.repos\n'}
[0.112448] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/list_apps.sh\n'}
[0.112799] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze\n'}
[0.113344] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client-colcon.meta\n'}
[0.113578] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/build.sh\n'}
[0.113786] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/board.repos\n'}
[0.114087] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/create.sh\n'}
[0.114252] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/client_uros_packages.repos\n'}
[0.114418] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/configure.sh\n'}
[0.114580] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/package.xml\n'}
[0.115032] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446ze/flash.sh\n'}
[0.115130] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/dev_ros2_packages.txt\n'}
[0.115352] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re\n'}
[0.115589] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/client-colcon.meta\n'}
[0.115808] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/build.sh\n'}
[0.115986] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/board.repos\n'}
[0.116171] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/create.sh\n'}
[0.116469] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/client_uros_packages.repos\n'}
[0.116935] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/configure.sh\n'}
[0.117055] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/package.xml\n'}
[0.117153] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f446re/flash.sh\n'}
[0.117241] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg\n'}
[0.117356] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client-colcon.meta\n'}
[0.117550] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/build.sh\n'}
[0.117647] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/board.repos\n'}
[0.117746] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/create.sh\n'}
[0.117811] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/client_uros_packages.repos\n'}
[0.117927] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/configure.sh\n'}
[0.118030] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/package.xml\n'}
[0.118106] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f746zg/flash.sh\n'}
[0.118168] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi\n'}
[0.118482] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/client-colcon.meta\n'}
[0.119033] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/build.sh\n'}
[0.119343] (micro_ros_setup) StdoutLine: {'line': b'-- Up-to-date: /home/alu0101206011/TFG-ROS2/ros2_client_node/install/micro_ros_setup/./config/freertos/nucleo_f767zi/board.repos\n'}
